OTU ID	Consensus Lineage
491	Bacteroidetes;Sphingobacteria;Sphingobacteriales;Flexibacteraceae
494	
496	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp3
504	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
508	Chloroflexi;Chloroflexi;Chloroflexales
512	Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
519	
522	Cyanobacteria;Cyanobacteria;Chloroplast;Bacillariophyta
525	OP10;OP10_genera_incertae_sedis
526	Proteobacteria;Alphaproteobacteria;Rhizobiales
528	Bacteroidetes;Sphingobacteria;Sphingobacteriales
540	Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae
542	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
553	Bacteroidetes;Bacteroidetes;Bacteroidales;Bacteroidaceae;Bacteroides
569	Proteobacteria
571	Bacteroidetes;Sphingobacteria;Sphingobacteriales
573	Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Capnocytophaga
579	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
583	Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Dialister
602	Proteobacteria
607	Actinobacteria;Actinobacteria;Rubrobacteridae;Rubrobacterales;Rubrobacterineae;Rubrobacteraceae;Conexibacter
611	Proteobacteria;Alphaproteobacteria;Rhizobiales
614	Root
615	
618	Bacteroidetes;Sphingobacteria;Sphingobacteriales;Flexibacteraceae
619	Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
622	
623	Proteobacteria
624	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp5
626	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp1
627	Bacteroidetes;Sphingobacteria;Sphingobacteriales;Flexibacteraceae;Dyadobacter
630	Proteobacteria;Betaproteobacteria
632	Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus
639	Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae
645	Actinobacteria;Actinobacteria
651	Firmicutes;Clostridia;Clostridiales
